 id,EDAD,¿Te intereasa la politica?  -Mucho -Poco -Nada,¿Por qué te interesa o no te interesa la politica? -Me aburre -No entiendo como funciona -Me preocupa el futuro - Me gusta debatir y estar informado,¿Qué temas te interesan de la política? -Educación -Economía -Inclusión -Tecnología -Otros,¿Cómo te mantienes informado de politica? -Redes sociales -Noticias -TV -Familia/amigos,¿Participas en política? -Si -No,¿Te involucrarías en política? -Si -No -No estoy seguro,¿Consideras que los jovenes deben involucrarse en política? -Si -No,¿Crees que la participàcion de los jovenes pueden generar cambios positivos? -Si -No -En algunos aspectos,¿Consideras que es necesario educar sobre politica en las escuelas? -Si -No
1,17,Mucho,Me gusta debatir y estar informado,Economia,Redes sociales,No,SI,Si,En algunos aspectos,Si
2,17,Mucho,Me gusta debatir y estar informado,Economia,redes sociales,No,SI,No,En algunos aspectos,No
3,17,Mucho,Me gusta debatir y estar informado,Economia,Redes sociales,No,No estoy seguro,Si,Si,Si
4,17,Poco,Me aburrre,Economia,Redes sociales,No,No estoy seguro,Si,Si,Si
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,17,Poco,Me gusta debatir y estar informado,Educación,Redes Sociales,No,No estoy seguro,Si,Si,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
¿Cuantas personas participaron en la encuesta?,¿Que edades tienen las personas encuestadas?,¿A cuantas personas le interesa mucho la politica? ¿A cuantas personas les interesa poco la politica? ¿A cuantas personas no les interesa nada la politica?,¿A cuantas personas les aburre la politica? ¿Cuantas no entienden como funciona? ¿A cuantas les preocupa el futuro? ¿A cuantas les gusta debatir y estar informados?,¿A cuantas personas les interesa la economia? ¿A cuantas la educacion? ¿A cuantas la Inclusion? ¿A cuantas la tecnologia? ¿Y cuantas otros temas?,¿Cuantas personas se informan a traves de redes sociales? ¿Cuantas a traves de Noticias? ¿Cuantas a traves de TV? ¿Cuantas a traves de Familia y/o amigos?,¿Cuantas personas participan en politica? ¿Cuantas no?,¿Cuantas personas se involucrarian en politica? ¿Cuantas no? ¿Cuantas no estan seguras?,¿Cuantas personas consideran que los jovenes deberian involucrarse en politca? ¿Cuantas no?,¿Cuantas personas creen que la participacion de los jovenes pueden generar cambios positivos? ¿Cuantas no? ¿Cuantas creen que solo en algunos aspectos?,¿Cuantas personas creen que es necesario educar sobre politica en las escuelas? ¿Cuantas no? 
¿Cuántos son los entrevistados?,,,¿cuantas personas no saben sobre como funciona la politica? ,¿Cuantos consideran necesaria la educación política en las escuelas?,,,,,¿Cuantas personas estan a favor?,
,¿Cuál es el rango de edad de los entrevistados?,"¿Cuántos respondieron “Mucho”, “Poco” y “Nada” a la pregunta de interés político?",¿Cuantas personas no les interesa la politica?,"II. ¿Cual  es el tema politico que mas eligieron ?",III. ¿Cual es el medio de comunicacion que mas se repitio por el caul se informa la gente ?,,VI. ¿Cuantos de ellos participaron en politica?,VII. ¿Cuantas personas pensaron que seria optimo enseñar politica en la escuela?,,¿Qué porcentaje de encuestados está a favor de la educación política en las escuelas?
,¿Cuántos participantes tienen edad menor de 18 años?,,,¿Cuántos motivos diferentes aparecen en las respuestas de motivos?,¿Cual es medio de comunicacion que menos se repitio?,,,,,	¿Qué porcentaje está en contra de esa educación?
,¿Cuántos participaron con edad exacta de 17 años?,,,¿Cuál es la categoría de motivo más frecuente?,,,,,,
,¿Cuántos participantes tienen edad entre 18 y 25 años?,,,¿Cual es el tema politico que menos eligieron?,,,,,,
,¿Cual es el promedio de la edad de los entrevistados? mateo,,,,,,,,,
,¿Cuántos participantes tienen edad mayor de 25 años?,,,,,,,,,
,¿Cuál es la mediana de la edad de los participantes?,,,,,,,,,
,¿Cual es el promedio de menores encuestados?,,,,,,,,,
,V. ¿cual era el promedio de edad que participo en el cuestionario?,,,,,,,,,
,¿Cuantas personas son mayores de 18 ?,,,,,,,,,
,¿Cuantas personas son menores a 18?,,,,,,,,,